,u,i,ts,label,idx
0,11,40,0.0,1,1
1,11,40,2042.0,1,2
2,11,40,2352.0,1,3
3,11,40,2779.0,1,4
4,11,40,3089.0,1,5
5,52,64,4115.0,1,6
6,52,40,4115.0,1,7
7,52,29,4115.0,1,8
8,52,23,4115.0,1,9
9,52,22,4115.0,1,10
10,52,11,4115.0,1,11
11,52,61,4115.0,1,12
12,1,61,4115.0,1,13
13,1,40,4115.0,1,14
14,1,29,4115.0,1,15
15,1,23,4115.0,1,16
16,1,22,4115.0,1,17
17,1,11,4115.0,1,18
18,1,64,4115.0,1,19
19,52,64,4425.0,1,20
20,52,61,4425.0,1,21
21,52,40,4425.0,1,22
22,52,29,4425.0,1,23
23,52,22,4425.0,1,24
24,52,11,4425.0,1,25
25,1,61,4425.0,1,26
26,1,40,4425.0,1,27
27,1,29,4425.0,1,28
28,1,22,4425.0,1,29
29,1,11,4425.0,1,30
30,1,64,4425.0,1,31
31,52,29,4735.0,1,32
32,52,64,4735.0,1,33
33,52,61,4735.0,1,34
34,52,40,4735.0,1,35
35,52,22,4735.0,1,36
36,1,64,4735.0,1,37
37,1,61,4735.0,1,38
38,1,40,4735.0,1,39
39,1,29,4735.0,1,40
40,1,22,4735.0,1,41
41,52,64,5045.0,1,42
42,52,61,5045.0,1,43
43,52,29,5045.0,1,44
44,52,40,5045.0,1,45
45,1,61,5045.0,1,46
46,1,40,5045.0,1,47
47,1,29,5045.0,1,48
48,1,64,5045.0,1,49
49,52,23,5358.0,1,50
50,52,64,5358.0,1,51
51,52,61,5358.0,1,52
52,52,47,5358.0,1,53
53,52,40,5358.0,1,54
54,52,29,5358.0,1,55
55,52,24,5358.0,1,56
56,52,22,5358.0,1,57
57,1,47,5358.0,1,58
58,1,61,5358.0,1,59
59,1,40,5358.0,1,60
60,1,29,5358.0,1,61
61,1,24,5358.0,1,62
62,1,23,5358.0,1,63
63,1,22,5358.0,1,64
64,1,64,5358.0,1,65
65,52,22,5668.0,1,66
66,52,64,5668.0,1,67
67,52,61,5668.0,1,68
68,52,47,5668.0,1,69
69,52,29,5668.0,1,70
70,52,24,5668.0,1,71
71,52,11,5668.0,1,72
72,1,11,5668.0,1,73
73,1,61,5668.0,1,74
74,1,22,5668.0,1,75
75,1,24,5668.0,1,76
76,1,64,5668.0,1,77
77,1,47,5668.0,1,78
78,1,29,5668.0,1,79
79,52,64,5978.0,1,80
80,52,61,5978.0,1,81
81,52,47,5978.0,1,82
82,52,29,5978.0,1,83
83,52,22,5978.0,1,84
84,1,64,5978.0,1,85
85,52,40,5978.0,1,86
86,1,47,5978.0,1,87
87,1,40,5978.0,1,88
88,1,29,5978.0,1,89
89,1,24,5978.0,1,90
90,1,22,5978.0,1,91
91,1,61,5978.0,1,92
92,52,24,5978.0,1,93
93,52,22,6289.0,1,94
94,52,64,6289.0,1,95
95,52,62,6289.0,1,96
96,52,61,6289.0,1,97
97,52,47,6289.0,1,98
98,52,40,6289.0,1,99
99,52,29,6289.0,1,100
100,52,24,6289.0,1,101
101,52,23,6289.0,1,102
102,1,64,6289.0,1,103
103,1,61,6289.0,1,104
104,1,47,6289.0,1,105
105,1,40,6289.0,1,106
106,1,29,6289.0,1,107
107,1,24,6289.0,1,108
108,1,23,6289.0,1,109
109,1,22,6289.0,1,110
110,1,62,6289.0,1,111
111,52,64,6601.0,1,112
112,52,62,6601.0,1,113
113,52,61,6601.0,1,114
114,52,47,6601.0,1,115
115,52,29,6601.0,1,116
116,52,23,6601.0,1,117
117,52,22,6601.0,1,118
118,1,62,6601.0,1,119
119,1,61,6601.0,1,120
120,1,47,6601.0,1,121
121,1,29,6601.0,1,122
122,1,23,6601.0,1,123
123,1,22,6601.0,1,124
124,1,64,6601.0,1,125
125,52,23,6911.0,1,126
126,52,61,6911.0,1,127
127,52,40,6911.0,1,128
128,52,29,6911.0,1,129
129,52,24,6911.0,1,130
130,52,22,6911.0,1,131
131,52,47,6911.0,1,132
132,1,47,6911.0,1,133
133,1,40,6911.0,1,134
134,1,29,6911.0,1,135
135,1,24,6911.0,1,136
136,1,23,6911.0,1,137
137,1,61,6911.0,1,138
138,1,22,6911.0,1,139
139,52,64,7221.0,1,140
140,52,62,7221.0,1,141
141,52,61,7221.0,1,142
142,52,47,7221.0,1,143
143,52,40,7221.0,1,144
144,52,29,7221.0,1,145
145,52,23,7221.0,1,146
146,52,22,7221.0,1,147
147,1,64,7221.0,1,148
148,1,62,7221.0,1,149
149,1,61,7221.0,1,150
150,1,47,7221.0,1,151
151,1,40,7221.0,1,152
152,1,29,7221.0,1,153
153,1,23,7221.0,1,154
154,1,22,7221.0,1,155
155,52,64,7532.0,1,156
156,52,62,7532.0,1,157
157,52,61,7532.0,1,158
158,52,47,7532.0,1,159
159,52,40,7532.0,1,160
160,52,29,7532.0,1,161
161,52,22,7532.0,1,162
162,52,23,7532.0,1,163
163,1,62,7532.0,1,164
164,1,22,7532.0,1,165
165,1,23,7532.0,1,166
166,1,29,7532.0,1,167
167,1,64,7532.0,1,168
168,1,47,7532.0,1,169
169,1,61,7532.0,1,170
170,1,40,7532.0,1,171
171,52,64,7844.0,1,172
172,52,22,7844.0,1,173
173,52,61,7844.0,1,174
174,52,47,7844.0,1,175
175,52,40,7844.0,1,176
176,52,39,7844.0,1,177
177,52,29,7844.0,1,178
178,52,23,7844.0,1,179
179,52,62,7844.0,1,180
180,1,64,7844.0,1,181
181,1,61,7844.0,1,182
182,1,47,7844.0,1,183
183,1,40,7844.0,1,184
184,1,39,7844.0,1,185
185,1,29,7844.0,1,186
186,1,23,7844.0,1,187
187,1,22,7844.0,1,188
188,1,62,7844.0,1,189
189,52,22,8154.0,1,190
190,52,62,8154.0,1,191
191,52,61,8154.0,1,192
192,52,64,8154.0,1,193
193,52,40,8154.0,1,194
194,52,39,8154.0,1,195
195,52,23,8154.0,1,196
196,52,4,8154.0,1,197
197,52,47,8154.0,1,198
198,1,62,8154.0,1,199
